Date,Open,High,Low,Close
2025-01-02,4.1317,4.18084,4.11415,4.16199
2025-01-03,4.16287,4.1644,4.14055,4.1416
2025-01-06,4.14605,4.15105,4.07145,4.0935
2025-01-07,4.0932,4.1224,4.07355,4.11855
2025-01-08,4.11855,4.1606,4.11635,4.1429
2025-01-09,4.14365,4.16575,4.13495,4.1363
2025-01-10,4.13752,4.18265,4.13505,4.16379
2025-01-13,4.16305,4.1954,4.1558,4.1615
2025-01-14,4.1603,4.17465,4.13445,4.13735
2025-01-15,4.1377,4.14888,4.11237,4.1376
2025-01-16,4.13575,4.1581,4.1314,4.14095
2025-01-17,4.1415,4.15031,4.1218,4.14705
2025-01-20,4.1455,4.15142,4.07525,4.08415
2025-01-21,4.0843,4.11594,4.0728,4.07625
2025-01-22,4.0765,4.09065,4.04875,4.0589
2025-01-23,4.05905,4.06765,4.03376,4.04545
2025-01-24,4.0466,4.0498,4.0031,4.0125
2025-01-27,4.0195,4.0373,4.00585,4.01755
2025-01-28,4.01755,4.04515,4.0173,4.02925
2025-01-29,4.0289,4.0611,4.021,4.0331
2025-01-30,4.0331,4.04866,4.01406,4.04555
2025-01-31,4.04581,4.07481,4.03878,4.0668
2025-02-03,4.11505,4.14025,4.08455,4.08745
2025-02-04,4.08715,4.1235,4.05232,4.05715
2025-02-05,4.0558,4.0595,4.0255,4.03775
2025-02-06,4.03775,4.06316,4.0311,4.03555
2025-02-07,4.03565,4.0712,4.02695,4.06011
2025-02-10,4.07157,4.07215,4.04109,4.0596
2025-02-11,4.0603,4.07044,4.01845,4.02745
2025-02-12,4.0277,4.04765,3.98967,4.01
2025-02-13,4.0103,4.02875,3.98201,3.98408
2025-02-14,3.98491,3.99399,3.95633,3.96452
2025-02-17,3.97184,3.97941,3.95847,3.9679
2025-02-18,3.9678,3.98865,3.96701,3.96935
2025-02-19,3.9694,4.01945,3.96643,4.0053
2025-02-20,4.00633,4.0111,3.96136,3.96505
2025-02-21,3.96575,3.98486,3.9609,3.97997
2025-02-24,3.97285,3.97581,3.94817,3.95803
2025-02-25,3.95987,3.96375,3.9369,3.9397
2025-02-26,3.93935,3.95655,3.92704,3.94597
2025-02-27,3.94502,4.0076,3.93835,4.00445
2025-02-28,4.00504,4.05168,3.98141,4.0442
2025-03-03,4.0179,4.0335,3.95957,3.96487
2025-03-04,3.96487,3.97704,3.91738,3.92542
2025-03-05,3.92655,3.9361,3.84767,3.85151
2025-03-06,3.85117,3.87858,3.83861,3.868
2025-03-07,3.86629,3.8745,3.82181,3.84679
2025-03-10,3.84179,3.88521,3.83534,3.87565
2025-03-11,3.8754,3.8754,3.83086,3.8481
2025-03-12,3.84805,3.86193,3.835,3.84771
2025-03-13,3.84771,3.8802,3.84427,3.8557
2025-03-14,3.855,3.86587,3.821,3.8478
2025-03-17,3.84416,3.85088,3.82805,3.83115
2025-03-18,3.83115,3.84306,3.8138,3.82185
2025-03-19,3.82145,3.86209,3.82018,3.84071
2025-03-20,3.84071,3.88614,3.82988,3.86171
2025-03-21,3.86196,3.8873,3.85911,3.87745
2025-03-24,3.8746,3.8789,3.85209,3.86216
2025-03-25,3.86184,3.87118,3.84367,3.85911
2025-03-26,3.85918,3.89948,3.856,3.89725
2025-03-27,3.89727,3.89855,3.86835,3.87584
2025-03-28,3.87583,3.88657,3.8542,3.85953
2025-03-31,3.86095,3.8842,3.84987,3.86775
